Experiment Name:,060326 Emily yeast plate GFP

Tube Name:,Sample ID:,Volume(μL):,All Events ,Cells Events,Singles Events,GFP+ Events,GFP+ Histogram Events,GFP Neg Histo Events,GFP+ vs red Events,All Events  % Total,Cells % Total,Singles % Total,GFP+ % Total,GFP+ Histogram % Total,GFP Neg Histo % Total,GFP+ vs red % Total,All Events  % Parent,Cells % Parent,Singles % Parent,GFP+ % Parent,GFP+ Histogram % Parent,GFP Neg Histo % Parent,GFP+ vs red % Parent,All Events  Events/μL(V),Cells Events/μL(V),Singles Events/μL(V),GFP+ Events/μL(V),GFP+ Histogram Events/μL(V),GFP Neg Histo Events/μL(V),GFP+ vs red Events/μL(V),All Events  Median FITC-A,Cells Median FITC-A,Singles Median FITC-A,GFP+ Median FITC-A,GFP+ Histogram Median FITC-A,GFP Neg Histo Median FITC-A,GFP+ vs red Median FITC-A,All Events  GeoMean FITC-A,Cells GeoMean FITC-A,Singles GeoMean FITC-A,GFP+ GeoMean FITC-A,GFP+ Histogram GeoMean FITC-A,GFP Neg Histo GeoMean FITC-A,GFP+ vs red GeoMean FITC-A
19-Well-C10,,4.9,10726,10161,10000,4455,2419,7225,4572,100.00 %,94.73 %,93.23 %,41.53 %,22.55 %,67.36 %,42.63 %,100.00 %,94.73 %,98.42 %,44.55 %,24.19 %,72.25 %,45.72 %,2176.96,2062.28,2029.61,904.19,490.96,1466.39,927.94,6638.3,7410.4,7262.8,20713.4,33690.4,4028.4,19606.4,4711.6,5352.1,5201.3,23222.9,37908.9,2643.8,21836.5
19-Well-C11,,14.2,13337,10166,10000,3936,2115,7505,4067,100.00 %,76.22 %,74.98 %,29.51 %,15.86 %,56.27 %,30.49 %,100.00 %,76.22 %,98.37 %,39.36 %,21.15 %,75.05 %,40.67 %,942.50,718.41,706.68,278.15,149.46,530.37,287.41,2151.2,5960.5,5777.5,20459.3,32983.9,3168.8,19294.9,2203.0,4298.2,4159.2,23024.3,37948.3,2226.1,21600.1
19-Well-C12,,7.8,11025,10172,10000,2697,704,8947,2974,100.00 %,92.26 %,90.70 %,24.46 %,6.39 %,81.15 %,26.98 %,100.00 %,92.26 %,98.31 %,26.97 %,7.04 %,89.47 %,29.74 %,1413.69,1304.31,1282.26,345.82,90.27,1147.24,381.34,3889.9,4509.1,4412.4,14254.8,25166.3,3888.3,13348.4,2781.8,3325.0,3236.8,15373.1,26867.1,2716.2,14224.4
19-Well-D1,,13.5,11004,10208,10000,2692,754,8944,2913,100.00 %,92.77 %,90.88 %,24.46 %,6.85 %,81.28 %,26.47 %,100.00 %,92.77 %,97.96 %,26.92 %,7.54 %,89.44 %,29.13 %,816.07,757.04,741.61,199.64,55.92,663.30,216.03,3750.9,4332.9,4202.5,14302.5,24965.8,3620.3,13693.0,2704.3,3199.6,3079.8,15603.3,27025.5,2541.9,14585.1
19-Well-D2,,8.5,10883,10163,10000,2559,633,9062,2842,100.00 %,93.38 %,91.89 %,23.51 %,5.82 %,83.27 %,26.11 %,100.00 %,93.38 %,98.40 %,25.59 %,6.33 %,90.62 %,28.42 %,1281.55,1196.77,1177.57,301.34,74.54,1067.12,334.67,3906.5,4402.8,4318.2,13955.5,24932.7,3906.6,13116.0,2785.4,3266.4,3183.2,15106.2,26618.9,2738.3,13916.0
19-Well-D3,,4.1,13904,10300,10000,2742,764,8927,2985,100.00 %,74.08 %,71.92 %,19.72 %,5.49 %,64.20 %,21.47 %,100.00 %,74.08 %,97.09 %,27.42 %,7.64 %,89.27 %,29.85 %,3384.46,2507.19,2434.16,667.45,185.97,2172.98,726.60,2036.3,4599.2,4412.0,14098.3,25242.6,3806.6,13423.3,1739.5,3429.9,3265.0,15540.7,27215.4,2715.8,14456.2
19-Well-D4,,6.2,14686,10188,10000,2682,608,9080,2981,100.00 %,69.37 %,68.09 %,18.26 %,4.14 %,61.83 %,20.30 %,100.00 %,69.37 %,98.15 %,26.82 %,6.08 %,90.80 %,29.81 %,2381.82,1652.32,1621.83,434.98,98.61,1472.62,483.47,1611.8,4574.4,4457.8,13670.7,24123.1,4043.5,12976.6,1469.6,3370.2,3279.3,14804.9,26659.3,2831.1,13635.0
19-Well-D5,,1.4,10536,10406,10000,3914,1619,8105,4291,100.00 %,98.77 %,94.91 %,37.15 %,15.37 %,76.93 %,40.73 %,100.00 %,98.77 %,96.10 %,39.14 %,16.19 %,81.05 %,42.91 %,7385.08,7293.96,7009.38,2743.47,1134.82,5681.10,3007.73,6612.5,6704.3,6369.7,16722.2,27808.9,4738.6,15331.4,5311.2,5396.6,5105.1,18267.4,30431.8,3504.1,16413.6
19-Well-D6,,6.4,12826,10256,10000,3716,1372,8315,4120,100.00 %,79.96 %,77.97 %,28.97 %,10.70 %,64.83 %,32.12 %,100.00 %,79.96 %,97.50 %,37.16 %,13.72 %,83.15 %,41.20 %,2003.83,1602.31,1562.32,580.56,214.35,1299.07,643.67,3945.9,6243.6,6044.0,15795.2,26464.9,4691.0,14333.0,2784.0,4845.6,4680.4,17216.0,28845.7,3406.9,15385.0
19-Well-D7,,10.4,13725,10361,10000,3713,1547,8095,4068,100.00 %,75.49 %,72.86 %,27.05 %,11.27 %,58.98 %,29.64 %,100.00 %,75.49 %,96.52 %,37.13 %,15.47 %,80.95 %,40.68 %,1318.63,995.44,960.75,356.73,148.63,777.73,390.83,3387.6,6250.9,5987.1,16933.7,28153.6,4544.4,15564.2,2636.5,5049.7,4791.7,18484.2,30600.2,3313.6,16606.3
19-Well-D8,,2.3,10689,10232,10000,3689,1412,8325,4070,100.00 %,95.72 %,93.55 %,34.51 %,13.21 %,77.88 %,38.08 %,100.00 %,95.72 %,97.73 %,36.89 %,14.12 %,83.25 %,40.70 %,4652.06,4453.17,4352.20,1605.53,614.53,3623.20,1771.34,5641.8,6069.3,5874.0,15962.3,26774.2,4517.9,14528.8,4404.2,4904.1,4742.6,17561.4,29715.4,3407.9,15752.8
19-Well-D9,,15.0,11183,10334,10000,3948,1734,7964,4281,100.00 %,92.41 %,89.42 %,35.30 %,15.51 %,71.22 %,38.28 %,100.00 %,92.41 %,96.77 %,39.48 %,17.34 %,79.64 %,42.81 %,747.01,690.30,667.99,263.72,115.83,531.99,285.97,5850.9,6655.9,6379.3,17320.7,28689.4,4697.0,16015.3,4480.2,5458.0,5205.2,18942.2,31272.9,3475.9,17228.3
19-Well-D10,,15.6,10995,10092,10000,2278,557,9075,2289,100.00 %,91.79 %,90.95 %,20.72 %,5.07 %,82.54 %,20.82 %,100.00 %,91.79 %,99.09 %,22.78 %,5.57 %,90.75 %,22.89 %,706.44,648.42,642.51,146.36,35.79,583.08,147.07,2580.2,3293.2,3235.5,13830.9,23842.5,2864.2,13761.6,2097.2,2511.8,2472.3,14996.9,25826.9,2139.0,14620.7
19-Well-D11,,14.8,11016,10115,10000,2415,613,9019,2440,100.00 %,91.82 %,90.78 %,21.92 %,5.56 %,81.87 %,22.15 %,100.00 %,91.82 %,98.86 %,24.15 %,6.13 %,90.19 %,24.40 %,743.70,682.87,675.11,163.04,41.38,608.88,164.73,2628.4,3352.9,3281.3,14390.6,24205.6,2831.3,14321.3,2129.0,2547.1,2504.1,15295.8,25857.4,2138.9,14975.4
19-Well-D12,,20.0,11053,10102,10000,2203,526,9058,2178,100.00 %,91.40 %,90.47 %,19.93 %,4.76 %,81.95 %,19.71 %,100.00 %,91.40 %,98.99 %,22.03 %,5.26 %,90.58 %,21.78 %,553.92,506.26,501.15,110.40,26.36,453.94,109.15,2231.9,2917.1,2868.4,13679.0,23797.7,2579.3,13695.3,1922.8,2308.8,2275.2,14827.5,25432.5,1988.2,14590.6
19-Well-E1,,14.1,10927,10120,10000,2445,626,9050,2468,100.00 %,92.61 %,91.52 %,22.38 %,5.73 %,82.82 %,22.59 %,100.00 %,92.61 %,98.81 %,24.45 %,6.26 %,90.50 %,24.68 %,777.11,719.72,711.18,173.88,44.52,643.62,175.52,2889.7,3552.7,3452.0,14048.7,23651.5,2966.5,13976.0,2248.6,2651.6,2606.6,15090.7,25359.1,2219.9,14785.9
19-Well-E2,,14.7,10776,10108,10000,2429,652,9007,2449,100.00 %,93.80 %,92.80 %,22.54 %,6.05 %,83.58 %,22.73 %,100.00 %,93.80 %,98.93 %,24.29 %,6.52 %,90.07 %,24.49 %,731.94,686.57,679.23,164.99,44.29,611.78,166.34,2862.5,3432.0,3379.4,14339.0,24612.3,2810.9,14232.2,2303.2,2614.6,2575.2,15410.1,26166.1,2158.6,15032.3
19-Well-E3,,3.5,10535,10313,10000,3035,847,8912,3452,100.00 %,97.89 %,94.92 %,28.81 %,8.04 %,84.59 %,32.77 %,100.00 %,97.89 %,96.96 %,30.35 %,8.47 %,89.12 %,34.52 %,3010.05,2946.62,2857.19,867.16,242.00,2546.33,986.30,5455.4,5579.3,5399.8,14107.6,25193.0,4663.8,12952.8,4288.3,4435.0,4253.3,15487.4,27377.2,3509.9,14028.4
19-Well-E4,,7.1,10545,10172,10000,2674,650,9098,3068,100.00 %,96.46 %,94.83 %,25.36 %,6.16 %,86.28 %,29.09 %,100.00 %,96.46 %,98.31 %,26.74 %,6.50 %,90.98 %,30.68 %,1487.25,1434.64,1410.38,377.14,91.67,1283.17,432.70,4471.7,4698.6,4600.9,13759.1,24645.1,4146.5,12784.1,3457.3,3755.3,3660.8,15005.1,26459.3,3146.4,13528.8
19-Well-E5,,4.1,10480,10249,10000,2798,713,9055,3191,100.00 %,97.80 %,95.42 %,26.70 %,6.80 %,86.40 %,30.45 %,100.00 %,97.80 %,97.57 %,27.98 %,7.13 %,90.55 %,31.91 %,2526.90,2471.21,2411.17,674.64,171.92,2183.31,769.40,4899.5,5019.9,4889.7,13835.6,25445.8,4326.7,12720.6,3803.5,3936.8,3810.8,15185.8,27667.1,3219.7,13694.3
